,id0,id1,points_0,points_1,spread,over_under
0,Navy,SMU,55,14,20.0,None
0,Houston,Memphis,35,34,5.0,None
0,South Florida,Temple,44,23,-3.0,None
0,"Miami, FL",North Carolina,21,59,12.5,None
0,Duke,Pittsburgh,13,31,2.5,None
0,Auburn,Georgia,13,20,1.0,None
0,North Texas,Tennessee,0,24,41.0,None
0,Army,Tulane,31,34,-3.0,None
0,Texas,West Virginia,20,38,9.0,None
0,FAU,MTSU,17,24,5.5,None
0,Akron,"Miami, OH",37,28,6.5,None
0,Old Dominion,UTEP,31,21,7.5,None
0,Louisville,Virginia,38,31,13.5,None
0,Air Force,Utah State,35,28,-2.0,None
0,E. Michigan,Massachusetts,17,28,5.5,None
0,Arkansas State,La.-Monroe,59,21,14.0,None
0,Arizona State,Washington,27,17,2.5,None
0,FIU,Marshall,0,52,9.5,None
0,Nebraska,Rutgers,31,14,7.5,None
0,Kansas State,Texas Tech,44,59,5.0,None
0,Georgia Southern,Troy,45,10,4.5,None
0,Rice,Southern Miss,10,65,7.5,None
0,Nevada,San Jose State,37,34,2.0,None
0,Georgia State,Texas State,41,19,-1.5,None
0,Kentucky,Vanderbilt,17,21,3.0,None
0,Appalachian State,Idaho,47,20,20.0,None
0,Colorado State,UNLV,49,35,7.5,None
0,BYU,Missouri,16,20,-4.5,None
0,Cincinnati,Tulsa,49,38,22.5,None
0,Boise State,New Mexico,24,31,-30.5,None
0,San Diego State,Wyoming,38,3,23.5,None
0,California,Oregon State,54,24,21.5,None
0,Fresno State,Hawaii,42,14,-7.5,None
0,Bowling Green,Toledo,28,44,-8.0,None
0,Ball State,Ohio,31,48,9.5,None
0,C. Michigan,Kent State,27,14,8.5,None
0,N. Illinois,W. Michigan,27,19,3.0,None
0,East Carolina,UCF,44,7,15.5,None
0,La.-Monroe,Texas State,3,16,6.0,None
0,Cincinnati,South Florida,27,65,-1.0,None
0,Air Force,Boise State,37,30,-10.5,None
0,Clemson,Wake Forest,33,13,29.0,None
0,Michigan State,Ohio State,17,14,-14.5,None
0,Boston College,Notre Dame,16,19,15.5,None
0,Iowa,Purdue,40,20,23.5,None
0,Baylor,Oklahoma State,45,35,2.5,None
0,Oklahoma,TCU,30,29,19.0,None
0,FAU,Florida,14,20,28.5,None
0,California,Stanford,22,35,10.0,None
0,Michigan,Penn State,28,16,3.5,None
0,UCLA,Utah,17,9,-0.0,None
0,LSU,Mississippi,17,38,7.0,None
0,Navy,Tulsa,44,21,13.0,None
0,North Carolina,Virginia Tech,30,27,4.0,None
0,Connecticut,Houston,20,17,-8.0,None
0,Northwestern,Wisconsin,13,7,-12.0,None
0,Memphis,Temple,12,31,-3.5,None
